Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
SEC63	ENSG00000025796	6:107867756-107958208:-1	protein_coding	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]	.	0	Steuerwald 2007	1	yes
VIM	ENSG00000026025	10:17228241-17237593:1	protein_coding	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	Barone 2020, Pan 2008	2	Ntostis 2021	1	no
CD44	ENSG00000026508	11:35138882-35232402:1	protein_coding	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	.	0	Ntostis 2021	1	yes
AGPAT4	ENSG00000026652	6:161129967-161274061:-1	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	This study	1	.	0	yes
VRK2	ENSG00000028116	2:57907629-58159920:1	protein_coding	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	Pan 2008	1	.	0	yes
VEZT	ENSG00000028203	12:95217746-95302799:1	protein_coding	vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]	.	0	Grondahl 2010	1	yes
POU2F2	ENSG00000028277	19:42086110-42196585:-1	protein_coding	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	Barone 2020, Yuan 2021	2	.	0	yes
TBPL1	ENSG00000028839	6:133952170-133990432:1	protein_coding	TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]	.	0	Steuerwald 2007	1	yes
BCLAF1	ENSG00000029363	6:136256627-136289851:-1	protein_coding	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	Pan 2008	1	.	0	yes
ANK1	ENSG00000029534	8:41653220-41896741:-1	protein_coding	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	Ntostis 2021	1	.	0	yes
HMGB3	ENSG00000029993	X:150980509-150990771:1	protein_coding	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	.	0	Hamatini 2004	1	yes
NUP160	ENSG00000030066	11:47778087-47848555:-1	protein_coding	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]	.	0	Barone 2020	1	yes
BAK1	ENSG00000030110	6:33572547-33580293:-1	protein_coding	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	Barone 2020	1	.	0	yes
GRN	ENSG00000030582	17:44345246-44353106:1	protein_coding	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	Barone 2020, Yuan 2021	2	.	0	yes
FAM13B	ENSG00000031003	5:137937960-138051961:-1	protein_coding	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]	This study	1	.	0	yes
ARHGAP31	ENSG00000031081	3:119294383-119420714:1	protein_coding	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	Barone 2020	1	.	0	yes
SARS1	ENSG00000031698	1:109213918-109238182:1	protein_coding	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	This study	1	.	0	yes
RANBP3	ENSG00000031823	19:5916139-5978142:-1	protein_coding	RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]	Llonch 2021, This study	2	.	0	yes
ARID4A	ENSG00000032219	14:58298504-58373887:1	protein_coding	AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]	Llonch 2021, Pan 2008	2	.	0	yes
EIPR1	ENSG00000032389	2:3188925-3377830:-1	protein_coding	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	.	0	Ntostis 2021	1	yes
LRRC7	ENSG00000033122	1:69567922-70151945:1	protein_coding	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	This study	1	.	0	yes
FUT8	ENSG00000033170	14:65410592-65744121:1	protein_coding	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	.	0	Hamatini 2004, Pan 2008	2	yes
ATP6V0A1	ENSG00000033627	17:42458844-42522582:1	protein_coding	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	Llonch 2021, This study	2	.	0	yes
SLC4A7	ENSG00000033867	3:27372723-27484420:-1	protein_coding	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	.	0	Pan 2008	1	yes
MAP2K3	ENSG00000034152	17:21284672-21315232:1	protein_coding	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	This study	1	.	0	yes
TMSB10	ENSG00000034510	2:84905656-84906671:1	protein_coding	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	Barone 2020	1	.	0	yes
ASTE1	ENSG00000034533	3:131013875-131027649:-1	protein_coding	asteroid homolog 1 [Source:HGNC Symbol;Acc:HGNC:25021]	This study	1	.	0	yes
PEX3	ENSG00000034693	6:143450805-143490616:1	protein_coding	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	.	0	Llonch 2021, Pan 2008	2	yes
GABARAPL2	ENSG00000034713	16:75566375-75577881:1	protein_coding	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	.	0	Llonch 2021	1	yes
VCL	ENSG00000035403	10:73995193-74121363:1	protein_coding	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	Barone 2020	1	Steuerwald 2007	1	no
DEPDC1B	ENSG00000035499	5:60596912-60700190:-1	protein_coding	DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]	.	0	Yuan 2021	1	yes
NSMAF	ENSG00000035681	8:58583508-58659853:-1	protein_coding	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]	Zhang 2020	1	.	0	yes
ADSS2	ENSG00000035687	1:244408494-244451909:-1	protein_coding	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	.	0	Hamatini 2004, Steuerwald 2007	2	yes
RFC1	ENSG00000035928	4:39287456-39366375:-1	protein_coding	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	Llonch 2021	1	.	0	yes
CUL3	ENSG00000036257	2:224470150-224585397:-1	protein_coding	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	.	0	Pan 2008	1	yes
CYP46A1	ENSG00000036530	14:99684298-99727301:1	protein_coding	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]	Llonch 2021	1	Pan 2008	1	no
USP2	ENSG00000036672	11:119355215-119381711:-1	protein_coding	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]	Grondahl 2010, Llonch 2021	2	Barone 2020	1	no
NSUN2	ENSG00000037474	5:6599239-6633291:-1	protein_coding	NOP2/Sun RNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25994]	.	0	Barone 2020	1	yes
FBXO42	ENSG00000037637	1:16246840-16352480:-1	protein_coding	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	.	0	Barone 2020	1	yes
PI4K2B	ENSG00000038210	4:25160663-25279204:1	protein_coding	phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]	.	0	Barone 2020	1	yes
BOD1L1	ENSG00000038219	4:13568738-13627725:-1	protein_coding	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	Llonch 2021	1	.	0	yes
TLL1	ENSG00000038295	4:165873237-166104457:1	protein_coding	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	Llonch 2021	1	Pan 2008	1	no
TRIO	ENSG00000038382	5:14143342-14532128:1	protein_coding	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	.	0	Steuerwald 2007	1	yes
VCAN	ENSG00000038427	5:83471618-83582303:1	protein_coding	versican [Source:HGNC Symbol;Acc:HGNC:2464]	Barone 2020	1	.	0	yes
CDH1	ENSG00000039068	16:68737292-68835537:1	protein_coding	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	.	0	Llonch 2021	1	yes
DNAH5	ENSG00000039139	5:13690328-14011818:-1	protein_coding	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	Yuan 2021	1	.	0	yes
RAI14	ENSG00000039560	5:34656328-34832612:1	protein_coding	retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]	Yuan 2021	1	.	0	yes
PHF23	ENSG00000040633	17:7235029-7239722:-1	protein_coding	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]	This study	1	.	0	yes
PSMA4	ENSG00000041357	15:78540405-78552417:1	protein_coding	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	Pan 2008	1	.	0	yes
MYO16	ENSG00000041515	13:108596152-109208005:1	protein_coding	myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]	Llonch 2021, This study	2	.	0	yes
TNC	ENSG00000041982	9:115019575-115118207:-1	protein_coding	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	Barone 2020, Zhang 2020	2	Pan 2008	1	no
TDP1	ENSG00000042088	14:89954939-90044764:1	protein_coding	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	.	0	Yuan 2021	1	yes
SPATA7	ENSG00000042317	14:88384924-88470350:1	protein_coding	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	Barone 2020	1	.	0	yes
AP2S1	ENSG00000042753	19:46838136-46850846:-1	protein_coding	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	Zhang 2020	1	Ntostis 2021	1	no
BARX2	ENSG00000043039	11:129375848-129452279:1	protein_coding	BARX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:956]	.	0	Barone 2020	1	yes
ZIC2	ENSG00000043355	13:99981784-99986765:1	protein_coding	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	.	0	Zhang 2020	1	yes
LCP2	ENSG00000043462	5:170246233-170297815:-1	protein_coding	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	Barone 2020	1	.	0	yes
TRIT1	ENSG00000043514	1:39838110-39883511:-1	protein_coding	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	.	0	Barone 2020	1	yes
PHKA2	ENSG00000044446	X:18892298-18984114:-1	protein_coding	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	Llonch 2021, This study	2	.	0	yes
CNTLN	ENSG00000044459	9:17134982-17503923:1	protein_coding	centlein [Source:HGNC Symbol;Acc:HGNC:23432]	Barone 2020, Llonch 2021, This study	3	.	0	yes
OFD1	ENSG00000046651	X:13734743-13777955:1	protein_coding	OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]	Llonch 2021, Yuan 2021	2	.	0	yes
WDR37	ENSG00000047056	10:1049538-1160991:1	protein_coding	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	.	0	Barone 2020	1	yes
POLR2B	ENSG00000047315	4:56977722-57031158:1	protein_coding	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	Pan 2008	1	Hamatini 2004	1	no
TPR	ENSG00000047410	1:186311652-186375693:-1	protein_coding	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	Llonch 2021	1	.	0	yes
XK	ENSG00000047597	X:37685791-37732130:1	protein_coding	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	.	0	Ntostis 2021	1	yes
C12orf4	ENSG00000047621	12:4487735-4538508:-1	protein_coding	chromosome 12 open reading frame 4 [Source:HGNC Symbol;Acc:HGNC:1184]	Llonch 2021	1	Hamatini 2004	1	no
WWC3	ENSG00000047644	X:10015254-10144474:1	protein_coding	WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]	.	0	Barone 2020	1	yes
MAP4	ENSG00000047849	3:47850690-48089272:-1	protein_coding	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	Yuan 2021	1	.	0	yes
GOPC	ENSG00000047932	6:117560269-117602542:-1	protein_coding	golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643]	Yuan 2021	1	Grondahl 2010	1	no
ROS1	ENSG00000047936	6:117287353-117425942:-1	protein_coding	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	.	0	Barone 2020	1	yes
SNX29	ENSG00000048471	16:11976734-12574287:1	protein_coding	sorting nexin 29 [Source:HGNC Symbol;Acc:HGNC:30542]	This study	1	.	0	yes
GUCA1A	ENSG00000048545	6:42173364-42181338:1	protein_coding	guanylate cyclase activator 1A [Source:HGNC Symbol;Acc:HGNC:4678]	.	0	Ntostis 2021	1	yes
RSF1	ENSG00000048649	11:77660009-77820869:-1	protein_coding	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	Llonch 2021	1	.	0	yes
CELF2	ENSG00000048740	10:10798397-11336675:1	protein_coding	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	.	0	Barone 2020, Llonch 2021	2	yes
R3HDM1	ENSG00000048991	2:135531455-135725270:1	protein_coding	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]	This study	1	.	0	yes
H6PD	ENSG00000049239	1:9234774-9271337:1	protein_coding	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	Barone 2020, Ntostis 2021	2	.	0	yes
PER3	ENSG00000049246	1:7784291-7845177:1	protein_coding	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	This study	1	.	0	yes
RCN1	ENSG00000049449	11:32091074-32105722:1	protein_coding	reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]	Barone 2020	1	.	0	yes
NEDD4L	ENSG00000049759	18:58044226-58401540:1	protein_coding	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	.	0	Grondahl 2010	1	yes
JKAMP	ENSG00000050130	14:59484443-59505410:1	protein_coding	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	.	0	Ntostis 2021	1	yes
LIMA1	ENSG00000050405	12:50175788-50283520:-1	protein_coding	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]	Llonch 2021	1	.	0	yes
LETMD1	ENSG00000050426	12:51047962-51060424:1	protein_coding	LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]	This study	1	.	0	yes
SLC4A8	ENSG00000050438	12:51391317-51515763:1	protein_coding	solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]	.	0	Hamatini 2004	1	yes
MAPK9	ENSG00000050748	5:180233143-180292099:-1	protein_coding	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	Yuan 2021	1	.	0	yes
BCAR1	ENSG00000050820	16:75228181-75268053:-1	protein_coding	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	This study	1	Llonch 2021	1	no
RAD51	ENSG00000051180	15:40694774-40732340:1	protein_coding	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	.	0	Pan 2008	1	yes
PIK3CB	ENSG00000051382	3:138652698-138834928:-1	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	.	0	Hamatini 2004	1	yes
HEBP2	ENSG00000051620	6:138403531-138422197:1	protein_coding	heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]	Zhang 2020	1	.	0	yes
PLEKHA5	ENSG00000052126	12:19129669-19376400:1	protein_coding	pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]	Barone 2020, Llonch 2021	2	.	0	yes
RRP12	ENSG00000052749	10:97356358-97426076:-1	protein_coding	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	This study	1	.	0	yes
MSMO1	ENSG00000052802	4:165327667-165343164:1	protein_coding	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	.	0	This study	1	yes
FSTL4	ENSG00000053108	5:133196455-133612541:-1	protein_coding	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	Llonch 2021	1	.	0	yes
MRTO4	ENSG00000053372	1:19251805-19260128:1	protein_coding	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	.	0	Barone 2020	1	yes
MCF2L2	ENSG00000053524	3:183178041-183428778:-1	protein_coding	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]	Llonch 2021	1	.	0	yes
ANAPC4	ENSG00000053900	4:25377263-25418498:1	protein_coding	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	.	0	Grondahl 2010, Hamatini 2004, Pan 2008	3	yes
TRAPPC3	ENSG00000054116	1:36136570-36156053:-1	protein_coding	trafficking protein particle complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19942]	This study	1	.	0	yes
THRAP3	ENSG00000054118	1:36224432-36305357:1	protein_coding	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]	Barone 2020	1	.	0	yes
ARID4B	ENSG00000054267	1:235131634-235328219:-1	protein_coding	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	Yuan 2021	1	.	0	yes
KIF1B	ENSG00000054523	1:10210570-10381603:1	protein_coding	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	.	0	Grondahl 2010, Pan 2008	2	yes
SYNE2	ENSG00000054654	14:63761899-64226433:1	protein_coding	spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]	Llonch 2021	1	.	0	yes
PLEKHH1	ENSG00000054690	14:67533290-67589612:1	protein_coding	pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]	.	0	Ntostis 2021	1	yes
ATP9A	ENSG00000054793	20:51596514-51768390:-1	protein_coding	ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]	This study	1	Pan 2008	1	no
SPO11	ENSG00000054796	20:57329803-57343994:1	protein_coding	SPO11 initiator of meiotic double stranded breaks [Source:HGNC Symbol;Acc:HGNC:11250]	.	0	Ntostis 2021	1	yes
RELT	ENSG00000054967	11:73376399-73397474:1	protein_coding	RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]	Yuan 2021	1	.	0	yes
SZRD1	ENSG00000055070	1:16352575-16398145:1	protein_coding	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]	.	0	This study	1	yes
CUL1	ENSG00000055130	7:148697914-148801110:1	protein_coding	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	.	0	Hamatini 2004	1	yes
CYFIP2	ENSG00000055163	5:157266079-157395595:1	protein_coding	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	.	0	Barone 2020	1	yes
TAB2	ENSG00000055208	6:149218641-149411613:1	protein_coding	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	.	0	Llonch 2021	1	yes
USP36	ENSG00000055483	17:78787381-78841441:-1	protein_coding	ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]	Llonch 2021	1	.	0	yes
PUM2	ENSG00000055917	2:20248691-20352234:-1	protein_coding	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	.	0	Pan 2008	1	yes
MRPL43	ENSG00000055950	10:100969458-100987515:-1	protein_coding	mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]	Grondahl 2010	1	.	0	yes
ZFR	ENSG00000056097	5:32354350-32444740:-1	protein_coding	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]	Grondahl 2010	1	.	0	yes
DCBLD2	ENSG00000057019	3:98795941-98901695:-1	protein_coding	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	Barone 2020	1	This study	1	no
SOAT1	ENSG00000057252	1:179293714-179358680:1	protein_coding	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	.	0	Llonch 2021, Pan 2008	2	yes
ATP11B	ENSG00000058063	3:182793503-182921629:1	protein_coding	ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]	.	0	Barone 2020, Pan 2008	2	yes
SEC61A1	ENSG00000058262	3:128051641-128071705:1	protein_coding	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	.	0	Barone 2020	1	yes
PPP1R12A	ENSG00000058272	12:79773563-79935460:-1	protein_coding	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	Llonch 2021, Pan 2008	2	.	0	yes
RASGRF1	ENSG00000058335	15:78959906-79090780:-1	protein_coding	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	This study	1	.	0	yes
CROCC	ENSG00000058453	1:16740273-16972964:1	protein_coding	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	Barone 2020	1	.	0	yes
POLR3E	ENSG00000058600	16:22297375-22335101:1	protein_coding	RNA polymerase III subunit E [Source:HGNC Symbol;Acc:HGNC:30347]	This study	1	Barone 2020	1	no
YIPF1	ENSG00000058799	1:53851719-53889798:-1	protein_coding	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	.	0	Ntostis 2021	1	yes
UNKL	ENSG00000059145	16:1363205-1414751:-1	protein_coding	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]	Yuan 2021	1	.	0	yes
TBXAS1	ENSG00000059377	7:139777051-140020325:1	protein_coding	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	Llonch 2021	1	.	0	yes
PARP12	ENSG00000059378	7:140023749-140062951:-1	protein_coding	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	Yuan 2021	1	Barone 2020	1	no
ALDH18A1	ENSG00000059573	10:95605941-95656711:-1	protein_coding	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	Barone 2020, Grondahl 2010	2	.	0	yes
GATB	ENSG00000059691	4:151670504-151761007:-1	protein_coding	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]	.	0	Zhang 2020	1	yes
CTDP1	ENSG00000060069	18:79679803-79754503:1	protein_coding	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]	.	0	Pan 2008	1	yes
STYK1	ENSG00000060140	12:10618923-10674318:-1	protein_coding	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]	.	0	Grondahl 2010	1	yes
WNK1	ENSG00000060237	12:752579-911452:1	protein_coding	WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]	This study	1	.	0	yes
CCAR1	ENSG00000060339	10:68721012-68792377:1	protein_coding	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]	.	0	Barone 2020	1	yes
PIGV	ENSG00000060642	1:26787054-26800659:1	protein_coding	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	This study	1	.	0	yes
ACAA1	ENSG00000060971	3:38103129-38137242:-1	protein_coding	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	This study	1	.	0	yes
BCAT1	ENSG00000060982	12:24810024-24949101:-1	protein_coding	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	.	0	Ntostis 2021	1	yes
MRPS35	ENSG00000061794	12:27710822-27756295:1	protein_coding	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	.	0	Llonch 2021	1	yes
TNK2	ENSG00000061938	3:195863364-195911945:-1	protein_coding	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	Pan 2008	1	.	0	yes
MON2	ENSG00000061987	12:62466817-62600476:1	protein_coding	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	.	0	Barone 2020	1	yes
CDH3	ENSG00000062038	16:68636189-68727468:1	protein_coding	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	Steuerwald 2007, This study	2	Barone 2020	1	no
GPBP1	ENSG00000062194	5:57173948-57264679:1	protein_coding	GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]	Barone 2020, Llonch 2021	2	.	0	yes
DGAT2	ENSG00000062282	11:75759512-75801535:1	protein_coding	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	.	0	Ntostis 2021	1	yes
